"region","country","year","NY.GDP.PCAP.KD","SH.XPD.CHEX.GD.ZS"
"South Asia","Afghanistan",2020,529.144909726945,15.53361416
"Europe & Central Asia","Albania",2020,4418.66087378292,7.51920271
"Middle East & North Africa","Algeria",2020,4422.97947188314,6.14268684
"Europe & Central Asia","Andorra",2020,34394.4140397243,8.78673935
"Sub-Saharan Africa","Angola",2020,2435.02485427339,3.22070646
"Latin America & Caribbean","Antigua and Barbuda",2020,14803.7695057464,5.92146206
"Latin America & Caribbean","Argentina",2020,11346.6521128461,10.34701538
"Europe & Central Asia","Armenia",2020,4256.13122785453,12.24
"East Asia & Pacific","Australia",2020,58082.4265799182,10.6837368
"Europe & Central Asia","Austria",2020,43343.9718951136,11.39
"Europe & Central Asia","Azerbaijan",2020,5083.56025445721,5.85
"Latin America & Caribbean","Bahamas, The",2020,23256.116064165,7.64700842
"Middle East & North Africa","Bahrain",2020,22550.9526363305,4.71684837
"South Asia","Bangladesh",2020,1593.90308825469,2.27063942
"Latin America & Caribbean","Barbados",2020,15163.667205885,7.37276554
"Europe & Central Asia","Belarus",2020,6252.00881913912,6.41
"Europe & Central Asia","Belgium",2020,40636.8066159524,11.19751263
"Latin America & Caribbean","Belize",2020,4957.94386791141,5.30974436
"Sub-Saharan Africa","Benin",2020,1164.70896655031,2.46970391
"South Asia","Bhutan",2020,3075.88556526741,4.36274862
"Latin America & Caribbean","Bolivia",2020,2920.19744733394,8.0225811
"Europe & Central Asia","Bosnia and Herzegovina",2020,5459.21962930891,9.7
"Sub-Saharan Africa","Botswana",2020,5810.89847606742,6.1213398
"Latin America & Caribbean","Brazil",2020,8255.56801342826,10.18235016
"East Asia & Pacific","Brunei Darussalam",2020,30401.843825384,2.39334464
"Europe & Central Asia","Bulgaria",2020,7958.82683957222,8.48
"Sub-Saharan Africa","Burkina Faso",2020,712.38495007516,6.50193262
"Sub-Saharan Africa","Burundi",2020,263.360988694576,10.71837234
"Sub-Saharan Africa","Cabo Verde",2020,2876.15342838428,6.12421703
"East Asia & Pacific","Cambodia",2020,1404.19865499773,7.11156559
"Sub-Saharan Africa","Cameroon",2020,1419.32820837781,3.77177453
"North America","Canada",2020,42366.1285192527,13.0351181
"Sub-Saharan Africa","Central African Republic",2020,375.216924073281,8.98538017
"Sub-Saharan Africa","Chad",2020,622.278506280593,5.53655243
"Latin America & Caribbean","Chile",2020,12725.2123430055,9.72726822
"East Asia & Pacific","China",2020,10358.1699971792,5.59359741
